location,location_s,features,bath,bed,toilet,price,description,page,loc
oke ira ogba lagos,oke ira ogba lagos,1 bed 1 bath 1 toilet,1,1,1,200000,"A well finished executive one roomself contain studio apartment Upstairs at OKE-IRA OGBA,,Available for Rent urgently..... ... Cheap. Renovated. 24 Hours Electricity. Security Doors. Street Lights. Security. 24 Hours Security. Parking Space. ...",11,ogba
an estate off college road ifako ogba ogba lagos,an estate off college road ifako ogba ogba lagos,3 bed 3 bath 4 toilet,3,3,4,1000000,"A Newly Built Luxury 3bedroom Flat with All Rooms Ensuite, POP, modern wardrobe and kitchen cabinets, water heater, stainless Steel railings, cubicle, shower, etc ... New. Security. 24 Hours Security. Big Compound. Security Doors. Pop Ceiling. All Room Ensuit. Parking Space. Drainage System. ...",11,ogba
before modupe oke ira ajayi road ogba lagos,before modupe oke ira ajayi road ogba lagos,2 bed 2 bath 3 toilet,2,2,3,800000,New ly build house ... New. Furnished. All Room Ensuit. Church Nearby. 24 Hours Security. Drainage System. Security. Supermarket Nearby. Pop Ceiling. Fast Internet. ...,11,ogba
"off ayo-alabi street oke-ira, ogba ikeja lagos","off ayoalabi street okeira, ogba ikeja lagos",2 bed 3 bath 3 toilet,3,2,3,750000,"A Newly Built Luxury 2bedroom Flat with All Rooms Ensuite, wardrobes, kitchen cabinet, shower, water heater, POP, prepaid meter etc ... ...",11,ogba
ogba ikeja lagos,ogba ikeja lagos,3 bed 3 bath 4 toilet,3,3,4,1200000,"A newly built and tastefully finished luxury 3 bedroom flat with all rooms ensuite, pop, floor tiles, well paved compound, security house, water heater, metal doors, upstairs, steel pipe railed balcony, wardrobes, kitchen cabinet, spacious ... ...",11,ogba
aguda........ ajayi road ogba lagos,aguda........ ajayi road ogba lagos,1 bed 1 bath 1 toilet,1,1,1,200000,"Lovely executive one roomself contain studio apartment at AGUDA OGBA,Available for Rent urgently..... ... Cheap. Renovated. Security. 24 Hours Security. Security Doors. 24 Hours Electricity. Street Lights. Parking Space. ...",11,ogba
dideolu estate ogba bus stop ogba lagos,dideolu estate ogba bus stop ogba lagos,1 bed 1 bath 1 toilet,1,1,1,350000,"A self contain , one room plus toilet and kitchen, in Dideolu Estate, Ogba available for let for one year only. One room plus Kitchen, plus toilet and lobby. ... Old. Cheap. ...",11,ogba
"alikat st fagba via ogba ikeja lagos, ikeja lagos","alikat st fagba via ogba ikeja lagos, ikeja lagos",1 bed 1 bath 1 toilet,1,1,1,300000,"Newly built Mini flat at Alikat st fagba via Ogba Ikeja Lagos.all round tiles,fence round with gate bore hole water supply ... ...",11,ogba
obawole off ogba ikeja lagos,obawole off ogba ikeja lagos,3 bed 3 bath 3 toilet,3,3,3,750000,"Well finished house with pop finishing in a secured environment,all tiles,self compound, borehole,etc ... ...",11,ogba
adealu street iyana ipaja ipaja lagos,adealu street iyana ipaja ipaja lagos,1 bed 0 bath 0 toilet,0,1,0,84000,"Ready shop for a restaurant, with all equipments intact. ... ...",1,iyanaipaja
aboru iyana ipaja ipaja lagos,aboru iyana ipaja ipaja lagos,2 bed 2 bath 2 toilet,2,2,2,500000,Beautiful 2 bedroom flat upstairs at Aboru Iyana Ipaja. Pop ceiling and ll facilities. Rent is #500k p.a. ... ...,1,iyanaipaja
iyana ipaja ipaja lagos,iyana ipaja ipaja lagos,3 bed 3 bath 4 toilet,3,3,4,650000,Executive 3 bedroom flat at *Prime Garden estate Aboru Iyana Ipaja*. Very secured estate. All round tiles and pop ceiling. All rooms ensuites with visitors toilet. Jacuzzi in master bedroom. Wardrobe in all rooms . ... New. Renovated. Supermarket Nearby. Drainage System. Pop Ceiling. All Room Ensuit. Big Compound. 24 Hours Security. Security. Restaurants Nearby. Parking Space. Security Doors. ...,1,iyanaipaja
iyana ipaja ipaja lagos,iyana ipaja ipaja lagos,1 bed 1 bath 2 toilet,1,1,2,300000,"NEWLY BUILT EXECUTIVE MINI FLAT, ALL ROOMS ENSUITE WITH GUEST TOILET, FULLY TILED, POP CEILING @ HERITAGE ESTATE, ABORU IYANA IPAJA RENT: #300,000 P/A ... New. Drainage System. Pop Ceiling. All Room Ensuit. ...",1,iyanaipaja
iyana ipaja ipaja lagos,iyana ipaja ipaja lagos,2 bed 2 bath 2 toilet,2,2,2,550000,A decent 2 bedroom flat available for rent in Iyana ipaja The house is located in a clean and secured environment. Its also very close to the main road. ... ...,1,iyanaipaja
"a33 shagari, housing estate, iyana ipaja ipaja lagos","a33 shagari, housing estate, iyana ipaja ipaja lagos",1 bed 0 bath 0 toilet,0,1,0,200000,"This property is neatly tiled, fenced and gated, fitted kitchen cabinet and in a serene environment. ... ...",1,iyanaipaja
ijaiye iyana ipaja ipaja lagos,ijaiye iyana ipaja ipaja lagos,4 bed 4 bath 5 toilet,4,4,5,350000,"4 Bedroom DUPLEX Apartment currently available for rent at Ijaiye. 20min proximity drive to ikeja, all tiled, kitchen cabinet, each wardrobes and ensuite in each bedrooms, maximum house security 24hrs water supply and electricity 350k ... ...",1,iyanaipaja
iyana ipaja ipaja lagos,iyana ipaja ipaja lagos,2 bed 2 bath 2 toilet,2,2,2,500000,"VERY DECENT 2 BEDROOMS FLAT, ALL ROOMS ENSUITE, UPSTAIRS, FULLY TILED WITH WARDROBES, POP CEILING @ ABORU, IYANA IPAJA RENT: #500,000 P/A ... New. Renovated. Supermarket Nearby. Drainage System. Pop Ceiling. All Room Ensuit. Big Compound. 24 Hours Security. Restaurants Nearby. Parking Space. ...",1,iyanaipaja
iyana ipaja ipaja lagos,iyana ipaja ipaja lagos,2 bed 2 bath 2 toilet,2,2,2,550000,"Clean and sharp 2 bedroom flats in a serene environment in , Iyana Ipaja, Lagos. Rent : #550K & #600K p.a respectively ... ...",1,iyanaipaja
orile agege agege lagos,orile agege agege lagos,4 bed 4 bath 5 toilet,4,4,5,1200000,4 bedroom Flat / Apartment for rent orile agege Agege Lagos ... New. Supermarket Nearby. Pop Ceiling. All Room Ensuit. 24 Hours Security. Security. Restaurants Nearby. Water Treatment. Street Lights. Parking Space. Security Doors. ...,1,iyanaipaja
pipeline alimosho lagos,pipeline alimosho lagos,3 bed 3 bath 4 toilet,3,3,4,650000,3 bedroom Flat / Apartment for rent Pipeline Alimosho Lagos ... New. Renovated. Supermarket Nearby. Pop Ceiling. All Room Ensuit. 24 Hours Security. Security. Restaurants Nearby. Water Treatment. Street Lights. Parking Space. Security Doors. Printing Service. ...,1,iyanaipaja
prime estate iyana ipaja ipaja lagos,prime estate iyana ipaja ipaja lagos,3 bed 3 bath 3 toilet,3,3,3,650000,Executive 3 bedroom flat at Prime Garden Estate Aboru Iyana Ipaja. Very secured estate. All round tiles and pop ceiling. All rooms ensuites with visitors toilet. Jacuzzi in master bedroom. Wardrobe in all rooms . ... ...,1,iyanaipaja
prime garden estate aboru.lyana lpaja iyana ipaja ipaja lagos,prime garden estate aboru.lyana lpaja iyana ipaja ipaja lagos,3 bed 4 bath 4 toilet,4,3,4,650,Executive 3 bedroom flat at Prime Garden estate Aboru Iyana Ipaja. Very secured estate. All round tiles and pop ceiling. All rooms ensuites with visitors toilet. Jacuzzi in master bedroom. Wardrobe in all rooms . ... Dry. Cheap. Furnished. Supermarket Nearby. Drainage System. Church Nearby. All Room Ensuit. Jacuzzi. Restaurants Nearby. Pop Ceiling. Water Treatment. Parking Space. Security. Big Compound. ...,1,iyanaipaja
iyana lpaja beside nysc camp iyana ipaja ipaja lagos,iyana lpaja beside nysc camp iyana ipaja ipaja lagos,4 bed 5 bath 5 toilet,5,4,5,1,"TO LET,,,,, Superb 4 bedroom duplex all rooms ensuit, all round tiles, kitchen cabinet, water heater, 2 in the compound @ estate behind NYSC iyana Ipaja, 1.2m, ... Dry. Cheap. Furnished. New. Supermarket Nearby. Mosques Nearby. Drainage System. Church Nearby. All Room Ensuit. Jacuzzi. Restaurants Nearby. Pop Ceiling. Water Treatment. Parking Space. Security. Big Compound. ...",1,iyanaipaja
iyana ipaja ipaja lagos,iyana ipaja ipaja lagos,2 bed 2 bath 3 toilet,2,2,3,550000,"Very neat 2 bedroom flats on ground and upper floors by Water bus stop, Iyana Ipaja, Lagos. Rent:#550,000 p.a (Upper Floor) Rent:#600,000 p.a (Ground Floor) Agency and legal fees @ 10% each ... Renovated. All Room Ensuit. Security. Parking Space. Drainage System. Pop Ceiling. Water Treatment. Security Doors. Big Compound. Fast Internet. ...",1,iyanaipaja
prime garden estate aboru iyana ipaja ipaja lagos,prime garden estate aboru iyana ipaja ipaja lagos,2 bed 3 bath 3 toilet,3,2,3,550000,"Executive Newly 2bedroom flat Apartment, with wardrobe kitchen cabinet pop ceiling water heater all ties floor security guard @ Prime Garden Estate Iyana Ipaja ... Furnished. New. All Room Ensuit. 24 Hours Electricity. Pop Ceiling. 24 Hours Security. ...",1,iyanaipaja
iyana paja road iyana ipaja ipaja lagos,iyana paja road iyana ipaja ipaja lagos,3 bed 4 bath 4 toilet,4,3,4,650000,"Executive 3bedroom Flat Apartment, with wardrobe kitchen cabinet pop ceiling All ties floor. Interlocking compound with good security Network, At prime Garden Estate Iyana paja ... Furnished. Renovated. All Room Ensuit. Security. 24 Hours Electricity. Supermarket Nearby. Pop Ceiling. 24 Hours Security. Big Compound. ...",1,iyanaipaja
prime garden estate iyana paja iyana ipaja ipaja lagos,prime garden estate iyana paja iyana ipaja ipaja lagos,3 bed 4 bath 4 toilet,4,3,4,400000,"Executive 3bedroom flat apartment, with wardrobe kitchen cabinet all ties floor. With good security network. At prime garden estate iyana paja ... Furnished. Renovated. Cheap. All Room Ensuit. Security. 24 Hours Electricity. Supermarket Nearby. 24 Hours Security. Big Compound. ...",1,iyanaipaja
an estate inside aboru iyana ipaja alimosho lagos,an estate inside aboru iyana ipaja alimosho lagos,2 bed 3 bath 3 toilet,3,2,3,500000,Newly built 2-bed king-size with pop ceiling kitchen cabinets and Wardrobe all rooms ensuite all round tiles and fenced gated and bole hole and the area is Attributed with a constant power supply of electricity ... ...,2,iyanaipaja
hilltop estate iyana ipaja lagos alimosho lagos,hilltop estate iyana ipaja lagos alimosho lagos,2 bed 2 bath 2 toilet,2,2,2,400000,Newly built 2 bedroom at Hiltop estate Aboru Iyana Ipaja Lagos all round tiles and fenced gated and bole hole and the area is Attributed with a constant power supply of electricity good road network ... ...,2,iyanaipaja
iyana ipaja aboru egbeda alimosho lagos,iyana ipaja aboru egbeda alimosho lagos,2 bed 3 bath 3 toilet,3,2,3,300000,Good ... Dry. New. Cheap. Parking Space. Big Compound. ...,2,iyanaipaja
iyana ipaja aboru egbeda alimosho lagos,iyana ipaja aboru egbeda alimosho lagos,1 bed 1 bath 1 toilet,1,1,1,150000,1bedroom self contain with nice compound. ... Dry. New. Cheap. Parking Space. Big Compound. 24 Hours Electricity. ...,2,iyanaipaja
iyana ipaja aboru egbeda alimosho lagos,iyana ipaja aboru egbeda alimosho lagos,1 bed 1 bath 1 toilet,1,1,1,150000,A room self contain with nice compound. ... Dry. New. Cheap. Parking Space. Big Compound. Drainage System. 24 Hours Electricity. ...,2,iyanaipaja
"plot 350, wilson emelike street, hilltop estate aboru, iyana-ipaja egbeda alimosho lagos","plot 350, wilson emelike street, hilltop estate aboru, iyanaipaja egbeda alimosho lagos",2 bed 1 bath 1 toilet,1,2,1,360000,"A two bedroom flat located in hilltop estate, a secure conducive and accessible area closeby to the Lagos abeokuta expressway with all the necessary amenities to ease healthy living. It is well ventilated and spacious ... Cheap. Dry. Renovated. Pop Ceiling. Security. Supermarket Nearby. Drainage System. Security Doors. Big Compound. Restaurants Nearby. 24 Hours Security. Water Treatment. ...",2,iyanaipaja
an estate inside aboru iyana ipaja alimosho lagos,an estate inside aboru iyana ipaja alimosho lagos,2 bed 3 bath 3 toilet,3,2,3,500000,Newly built 2-bed king-size with pop ceiling kitchen cabinets and Wardrobe all rooms ensuite all round tiles and fenced gated and bole hole and the area is Attributed with a constant power supply of electricity ... ...,2,iyanaipaja
... adeniyi jones ikeja lagos,... adeniyi jones ikeja lagos,0 bed 0 bath 4 toilet,0,0,4,4000000,"Ground floor Open plan space of 250 sq.metres location at Adeniyi Jones, Ikeja. Price: 4,000,000 Service charge: 270k per annum exclusive of diesel. Property has 4 Toilets. ... Parking Space. ...",1,ikeja
"ikeja gra, ikeja gra ikeja lagos","ikeja gra, ikeja gra ikeja lagos",0 bed 0 bath 0 toilet,0,0,0,70000,"FOR RENT: Brand New 4 Floor Open Office Space Measuring 176sqm per floor at Ikeja GRA, Lagos. FEATURES: - Mixed developed ultramodern building comprising of ground floor and other 4 floors administrative building. - Facility management - Water treatment ... ...",1,ikeja
toyin street ikeja lagos,toyin street ikeja lagos,2 bed 3 bath 3 toilet,3,2,3,1500000,"The property is a block of flats with the vacant apartment being a ground floor two bedrooms flat. The rooms are ensuite with guest toilet. It located in a gated street. Service charge : N 500,000 ... Old. Security. Security Doors. Supermarket Nearby. Boys Quater. Big Compound. ...",1,ikeja
"ikeja gra, ikeja lagos","ikeja gra, ikeja lagos",3 bed 3 bath 5 toilet,3,3,5,3500000,"FOR RENT: Luxurious and Decent (3) Bedroom Flat with a room boys quarter at Ikeja GRA, Lagos FEATURES: - The house is nicely finished and situated within an estate - Well interlocked compound - It is adorned with modern, ... ...",1,ikeja
within an estate adeniyi jones ikeja lagos,within an estate adeniyi jones ikeja lagos,5 bed 6 bath 6 toilet,6,5,6,5000000,"Service and Furnished 7unit of 5bedroom Terrace Duplex with bq, airconditioning in all rooms and living rooms, inverter read,very big industrial generator, dedicated transformer, CCTV, dedicated bore hole to each duplex and intercom etc at ... New. ...",1,ikeja
ikeja gra ikeja lagos,ikeja gra ikeja lagos,4 bed 4 bath 5 toilet,4,4,5,7000000,"Newly Built and Tastefully Finished 3nos 4bedroom Terrace Duplex plus bq with Swimming Pool, CCTV Camera, Prepaid Metre each Units can park upto 4cars at Ikeja GRA, Ikeja. #7m per Unit. Note: Can be used for ... New. Pop Ceiling. Swimming Pool. Cctv Cameras. Parking Space. ...",1,ikeja
allen avenue ikeja lagos,allen avenue ikeja lagos,3 bed 3 bath 4 toilet,3,3,4,3000000,3 bedroom Duplex for rent Allen Avenue Ikeja Lagos ... New. Dry. All Room Ensuit. Big Compound. Parking Space. Boys Quater. 24 Hours Security. ...,1,ikeja
in an estate at adeniyi jones ikeja lagos adeniyi jones ikeja lagos,in an estate at adeniyi jones ikeja lagos adeniyi jones ikeja lagos,5 bed 5 bath 6 toilet,5,5,6,3200000,Very nice spacious and well maintained 5bedroom Semi-detached duplex with a room BQ and security house Price: 3.2m net LOCATION: in Estate at ADENIYI JONES ikeja Lagos ... Pop Ceiling. Boys Quater. Security. Jacuzzi. Parking Space. ...,1,ikeja
"awuse estate, obepi, ikeja, lagos opebi ikeja lagos","awuse estate, obepi, ikeja, lagos opebi ikeja lagos",3 bed 2 bath 2 toilet,2,3,2,2000000,2 (Nos) 3 Bedroom Flat in a Block of 6 Flats Rent: N2m/ Annum ... Drainage System. Big Compound. 24 Hours Security. All Room Ensuit. Boys Quater. Security. Parking Space. ...,1,ikeja
adeniyi jones ikeja lagos,adeniyi jones ikeja lagos,5 bed 6 bath 6 toilet,6,5,6,5500000,"7 units 5 bedroom service and partially furnished luxury duplex with bq, air conditioning, wireless internet service, inverter, with batteries, sound proof sliding doors,Dstv/terrestrial TV,smoke detector in living room and kitchen. Top notch fittings and fixtures,large ... ...",1,ikeja
ikeja gra ikeja lagos,ikeja gra ikeja lagos,4 bed 4 bath 5 toilet,4,4,5,7500000,"Letting: Beautifully finished 4 Bedroom Terraced Duplex at GRA, Ikeja Features: All Rooms En-suite 1 Room BQ Fitted Kitchen with Heat Extractor, Gas Hubs, Oven and Microwave Oven Fully Serviced with 24 hours Power & Security, Swimming Pool, Waste Disposal Rental ... 24 Hours Electricity. All Room Ensuit. 24 Hours Security. Boys Quater. Parking Space. ...",1,ikeja
ikeja gra ikeja lagos,ikeja gra ikeja lagos,3 bed 3 bath 4 toilet,3,3,4,3200000,"Letting: 3 bedroom terraced Duplex with One Room BQ at GRA, Ikeja Features: All rooms en-suite Fitted Kitchen Serviced with Swimming Pool Needs slight renovation Rental Price: 3.5m Service Charge: 2m Agency Commission: 10% Legal Fee: 10% ... Renovated. Swimming Pool. Pop Ceiling. Boys Quater. Parking Space. ...",1,ikeja
aba johnson street adeniyi jones ikeja lagos,aba johnson street adeniyi jones ikeja lagos,10 bed 7 bath 8 toilet,7,0,8,10000000,7 Bedroom Detached House with a 3 Bedroom Bungalow on 1200m2 ... Renovated. Drainage System. Big Compound. 24 Hours Security. Church Nearby. Pop Ceiling. Swimming Pool. Boys Quater. Water Treatment. Security. Parking Space. ...,1,ikeja
... adeniyi jones ikeja lagos,... adeniyi jones ikeja lagos,0 bed 0 bath 0 toilet,0,0,0,350000000,"JV: A Corner piece land at Adeniyi Jones Avenue, Ikeja Size : 1375sqm Proposal: Both residential and commercial development Sharing ratio : 50/50 Facilitators : 10% Value : N350m Title: C of O ... C Of O. ...",1,ikeja
ikeja gra ikeja lagos,ikeja gra ikeja lagos,4 bed 4 bath 5 toilet,4,4,5,7500000,"Letting: Beautifully finished 4 Bedroom terraced Duplex at GRA, Ikeja Features: All Rooms En-suite 1 Room BQ Fitted Kitchen with Heat Extractor, Gas Hubs, Oven and Microwave Oven Fully Serviced with 24 hours Power & Security, Waste Disposal Rental Price: 7.5m Service ... Pop Ceiling. 24 Hours Electricity. All Room Ensuit. 24 Hours Security. Boys Quater. Parking Space. ...",2,ikeja
#NAME?,ikeja gra ikeja lagos,4 bed 4 bath 5 toilet,4,4,5,7000000,"Leasing: Beautifully finished 4 Bedroom semi-detached Duplexes at GRA, Ikeja Features: All rooms en-suite One Room BQ Complex serviced with Gym House and Pool 6 units available All renting to a Single Corporate Tenant or maximum of two Corporate Tenants to ... Pop Ceiling. All Room Ensuit. Boys Quater. Parking Space. ...",2,ikeja
ikeja gra ikeja lagos,ikeja gra ikeja lagos,1 bed 1 bath 1 toilet,1,1,1,1000000,clean pop all round tiles big compound ... Old. Dry. All Room Ensuit. Security. 24 Hours Electricity. Restaurants Nearby. Parking Space. Pop Ceiling. Big Compound. Fast Internet. ...,2,ikeja
ikeja gra ikeja lagos,ikeja gra ikeja lagos,1 bed 2 bath 2 toilet,2,1,2,1000000,"super clean 1 sitting room all round tiles interlocking compound 1bedroom, 2toilet, serviced apartment fancy fitted kitchen and store, and packing space with fence gate. ... Old. Serviced. Cheap. Dry. All Room Ensuit. Security. 24 Hours Electricity. Street Lights. Restaurants Nearby. Parking Space. Supermarket Nearby. Pop Ceiling. 24 Hours Security. Big Compound. Fast Internet. ...",2,ikeja
#NAME?,adeniyi jones ikeja lagos,3 bed 3 bath 4 toilet,3,3,4,2500000,clean tasfully built pop all room ensuite all round tiles well fitted kitchen cabinet ... Serviced. New. All Room Ensuit. Security. 24 Hours Electricity. Street Lights. Restaurants Nearby. Parking Space. Pop Ceiling. 24 Hours Security. Big Compound. Fast Internet. ...,2,ikeja
"awuse estate, opebi opebi ikeja lagos","awuse estate, opebi opebi ikeja lagos",3 bed 3 bath 4 toilet,3,3,4,2000000,"Nicely Located 3 Bedroom flat having all room ensuite with BQ at Awuse Estate, Opebi Ikeja, Lagos N.B: Nigerian or Expatriate can take it. Rent: 2M net ... Old. All Room Ensuit. Boys Quater. Security. Parking Space. ...",2,ikeja
opebi ikeja lagos,opebi ikeja lagos,2 bed 3 bath 3 toilet,3,2,3,2000000,all rooms ensuite fitted kitchen cabinets pop wardrope All round tiles fenced and gated ... Old. Cheap. Dry. All Room Ensuit. Security. 24 Hours Electricity. Street Lights. Restaurants Nearby. Parking Space. Supermarket Nearby. Pop Ceiling. 24 Hours Security. Big Compound. Fast Internet. ...,2,ikeja
near chrisland schools opebi ikeja lagos,near chrisland schools opebi ikeja lagos,3 bed 3 bath 4 toilet,3,3,4,2000000,Decent and very spacious 3bedroom. With personal staircase and prepaid meter. Only decent and working class tenants allowed. No discrimination of religion or tribe. Come and inspect today. Form fee applies for new clients. Now ... Furnished. Renovated. Dry. All Room Ensuit. Restaurants Nearby. Parking Space. Drainage System. Pop Ceiling. Water Treatment. 24 Hours Security. Big Compound. ...,2,ikeja
toyin street ikeja lagos,toyin street ikeja lagos,3 bed  bath  toilet, ,3, ,1300000,"3 bed room flat for rent off Toyin Street Ikeja, Lagos Rent: N1.3m APRO GLOBAL REAL ESTATES Web:[email protected] com.ng. Tel: 01-7620139 Mobile: 080-51-595-336, 080-29-481-639 070-63-822-217, 070-82-974-088 ... ...",2,ikeja
"awuse estate, opebi, ikeja, lagos opebi ikeja lagos","awuse estate, opebi, ikeja, lagos opebi ikeja lagos",3 bed 3 bath 4 toilet,3,3,4,1800000,"3 bedroom Shared Apartment Flat / Apartment for rent Awuse Estate, Opebi, Ikeja, Lagos Opebi Ikeja Lagos ... All Room Ensuit. Security. ...",2,ikeja
allen allen avenue ikeja lagos,allen allen avenue ikeja lagos,3 bed 3 bath 4 toilet,3,3,4,24000000,A 6 unit of 3bedroom flat. Cooperate tenants only. Each flat has a maid room. Faciliities include Swimming pool. Elevator. 2 big Generators. Own Transfgormer . well situated property. Gated. ... Serviced. New. All Room Ensuit. Swimming Pool. Boys Quater. 24 Hours Electricity. Elevator. 24 Hours Security. Big Compound. ...,2,ikeja
off allen avenue allen avenue ikeja lagos,off allen avenue allen avenue ikeja lagos,3 bed  bath  toilet, ,3, ,2000000,6 units of 3 bedroom flat with BQ Rent : 2m p.a negotiable ... ...,2,ikeja
adeniyi jones ikeja lagos,adeniyi jones ikeja lagos,4 bed 4 bath 5 toilet,4,4,5,3000000,"Executive terrace duplex with luxury fittings. with glass shower cubicle, pop ceiling, Spanish tiles, big wardrobes, big kitchen with cabinets and wall shelf plus exit door. Clean compound with prepaid meter and adequate car park. ... Furnished. New. Security. Gym. Parking Space. Supermarket Nearby. Drainage System. Pop Ceiling. Water Treatment. 24 Hours Security. Big Compound. ...",2,ikeja
abc estate adeniyi jones ikeja lagos,abc estate adeniyi jones ikeja lagos,6 bed 6 bath 6 toilet,6,6,6,6500000,"A detach 6 bedroom house consisting of: 3 bedroom Guest House 2 Room Service Quarters Ante Room & Large Sitting Area Large Kitchen & Dinning Area Family Lounge Swimming Pool (Non Functional), Laundry, Gatehouse, etc. ABC The property ... Old. Cheap. Security. Street Lights. Parking Space. Drainage System. Survey. Big Compound. ...",2,ikeja
ikeja gra ikeja lagos,ikeja gra ikeja lagos,4 bed 4 bath 5 toilet,4,4,5,7500000,"Letting: Beautifully finished 4 Bedroom terraced Duplex at GRA, Ikeja Features: All Rooms En-suite 1 Room BQ Fitted Kitchen with Heat Extractor, Gas Hubs, Oven and Microwave Oven Fully Serviced with 24 hours Power & Security, Waste Disposal Rental Price: 7.5m Service ... Pop Ceiling. 24 Hours Electricity. All Room Ensuit. 24 Hours Security. Boys Quater. Parking Space. ...",2,ikeja
"omole phase 1, ikeja lagos","omole phase 1, ikeja lagos",10 bed 10 bath 10 toilet,0,0,0,10000000,"** 10 Bedroom Detached Duplex plus 3 room Servant Quarter ** spacious anteroom ** 1 bedroom self contain at Pent house ** 6 room at 1st floor ** 3 rooms, kitchen, dining & living room of ground floor ** Serene ... Renovated. Dry. Boys Quater. Water Treatment. Big Compound. ...",3,ikeja
.. adeniyi jones ikeja lagos,.. adeniyi jones ikeja lagos,2 bed 3 bath 3 toilet,3,2,3,1400000,superclean pop all round tiles all room ensuite interlocking compound prepaid meter fenced and gated ... Old. Dry. All Room Ensuit. 24 Hours Electricity. Parking Space. Pop Ceiling. 24 Hours Security. Big Compound. Fast Internet. ...,3,ikeja
"awuse estate, opebi, ikeja, lagos opebi ikeja lagos","awuse estate, opebi, ikeja, lagos opebi ikeja lagos",3 bed 3 bath 4 toilet,3,3,4,1800000,"A lovely and spacious 4 units 3 bedroom flats having all room ensuite with BQ at Awuse Estate, Opebi, Ikeja, Lagos ... Old. All Room Ensuit. Boys Quater. Parking Space. ...",3,ikeja
onipetesi estate mangoro ikeja lagos,onipetesi estate mangoro ikeja lagos,2 bed 2 bath 1 toilet,2,2,1,400000,A portable 2 bedroom flat (1 toilet and bathroom) Rent :400k Agency : 60k Legal: 60k Caution: 30k ... ...,3,ikeja
"awuse estate, opebi, ikeja opebi ikeja lagos","awuse estate, opebi, ikeja opebi ikeja lagos",3 bed 3 bath 4 toilet,3,3,4,3000000,"Newly built 12 units 3 bedroom Flats with BQ at Awuse Estate, Opebi, Ikeja, Lagos N.B: Corporate Tenants only ... New. All Room Ensuit. Boys Quater. Parking Space. ...",3,ikeja
"kay farm estate, obawale, ogba ikeja lagos","kay farm estate, obawale, ogba ikeja lagos",2 bed 2 bath 3 toilet,2,2,3,650000,"Just Out...... Newly built lovely 2bedroom LOCATION:kfarm estate obawole ogba. With Pop, wardrobes, 3toilet and bath. Water heater. Price: Up 700k down 650k.... ... ...",3,ikeja
alfred garden estate oregun ikeja oregun ikeja lagos,alfred garden estate oregun ikeja oregun ikeja lagos,3 bed 3 bath 4 toilet,3,3,4,5500000,"Fully furnished 3 bedroom terrace duplex, 2 living rooms with BQ LOCATION: Alfred Garden Estate, Ikeja. Estate is fully secured, exclusive and serviced with pool, gym, club house, children recreation area etc Rent: #5.5m SC. ... Serviced. All Room Ensuit. Parking Space. Boys Quater. Security. Jacuzzi. Big Compound. Pop Ceiling. 24 Hours Electricity. 24 Hours Security. ...",3,ikeja
ikeja gra ikeja gra ikeja lagos,ikeja gra ikeja gra ikeja lagos,4 bed 4 bath 5 toilet,4,4,5,6500000,IKEJA G R A TO LET/SALE Newly Tasteful Built 3 Nos of 4 Bedrooms Terrace Duplex with a Room Bq LOCATION: Ikeja G R A Ikeja Lagos. Rent N6.5 Millions Naira a Year Each. SALE N150 ... New. Parking Space. Pop Ceiling. C Of O. All Room Ensuit. Street Lights. Boys Quater. Jacuzzi. Security. Big Compound. ...,3,ikeja
mangoro cement bustop ikeja mangoro ikeja lagos,mangoro cement bustop ikeja mangoro ikeja lagos,1 bed 1 bath 1 toilet,1,1,1,250000,"A roomself contained with,bed, window blinds (Furnished Apartment) just come with your cloth 2 people To share kitchen, Sitting room, toilet and bathroom There is plasma tv and air condition in the sitting room Price:250k per annum Agency:25k Total ... Cheap. Furnished. Parking Space. Security Doors. Big Compound. ...",3,ikeja
"alhaji basheer shittu street magodo shangisha phase 2, ikeja lagos","alhaji basheer shittu street magodo shangisha phase 2, ikeja lagos",5 bed 5 bath 6 toilet,5,5,6,6000000,"Brandnew 8 Units of 5 Bedroom ( all ensuite) luxurious terrace building 2 living room, fitted kitchen, study room, ample parking, bq, laundry room, gym, lush greengarden/recreation area, LOCATION:Alh Basheer Shittu Street, Magodo Estate ( Perfect and prime for a corporate tenant). *Rent:* 6M/ Unit Minimum of ... ...",3,ikeja
adeniyi jones ikeja adeniyi jones ikeja lagos,adeniyi jones ikeja adeniyi jones ikeja lagos,1 bed 1 bath 1 toilet,1,1,1,600000,"HOT NEW LETTINGS Shared rooms in a serene environment LOCATION:Adeniyi Jones, Ikeja!!!. 24 HOURS POWER supply. Proximity to different locations. Clean and adequate water supply. Security, cleaning and gardening services. Ensuite Room 1: N600k, SC: N100k ... Serviced. 24 Hours Security. 24 Hours Electricity. Pop Ceiling. Parking Space. Security. ...",3,ikeja
"adeniyi jones ikeja, adeniyi jones ikeja lagos","adeniyi jones ikeja, adeniyi jones ikeja lagos",3 bed 3 bath 4 toilet,3,3,4,2000000,A nice & serviced 3 bedroom flat with a room BQ *Location* Adeniyi Jones Ikeja *Rent* 2M net *Service charge* 404K Which covers 24 Hours Power supply Proximity to every location Clean and adequate water supply. Security Cleaners Gardening services etc ... ...,3,ikeja
